Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C2,C30",C_0603,C14663,3
10kΩ,"R12,R19,R2,R20,R21,R22,R28,R29,R3,R30,R31,R32,R33,R6,R7,R8,R9",R_0402,C25744,17
10uF,"C16,C18,C29",C_0603,C19702,3
330Ω,R1,R_0402,C25104,1
510Ω,"R10,R11",R_0402,C25123,2
AMS1117,U4,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
AO3400A,"Q4,Q5",Q_SOT-23,C20917,2
M24C64,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C79988,1
M7,D1,D_SMA,C95872,1
"PCA9685PW,118",U1,TSSOP-28_L9.7-W4.4-P0.65-LS6.4-TL,C2678753,1
Red,"D5,D6,D7",D_0603,C2286,3
SN74CB3Q3245PWR,U3,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C470961,1
Conn_01x03,J10,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Conn_01x03,J7,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Chainbus Out,J2,PinSocket_2x16_P2.54mm_Vertical_SMD,,1
Conn_01x03,J9,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Conn_01x04_Pin,J3,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x03,J8,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
Chainbus in,J1,PinHeader_2x16_P2.54mm_Vertical_SMD,,1
