Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603,140.5,-108.78,90.0,top
C16,10uF,C_0603,117.45,-104.32,-90.0,top
C18,10uF,C_0603,117.45,-107.38,-90.0,top
C2,100nF,C_0603,129.794,-104.648,0.0,top
C29,10uF,C_0603,120.25,-127.5,90.0,top
C30,100nF,C_0603,149.606,-108.458,90.0,top
D1,M7,D_SMA,96.5,-99.5,-90.0,top
D5,Red,D_0603,176.09,-97.9,0.0,top
D6,Red,D_0603,175.64,-117.0,180.0,top
D7,Red,D_0603,175.81,-114.25,180.0,top
H1,M2.5 Mount,MountingHole_2.7mm_M2.5_DIN965_Pad_TopOnly,82.0,-92.0,0.0,top
H2,M2.5 mount,MountingHole_2.7mm_M2.5,174.0,-134.0,0.0,top
H3,M2.5 mount,MountingHole_2.7mm_M2.5,82.0,-134.0,0.0,top
H4,M2.5 mount,MountingHole_2.7mm_M2.5,174.0,-92.0,0.0,top
H5,M2.5 mount,MountingHole_2.7mm_M2.5,103.016621,-94.004594,0.0,top
H6,M2.5 mount,MountingHole_2.7mm_M2.5,153.0,-94.0,0.0,top
J1,Chainbus in,PinHeader_2x16_P2.54mm_Vertical_SMD,127.99,-95.538272,270.0,bottom
J10,Conn_01x03,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,126.238,-132.405,0.0,top
J2,Chainbus Out,PinSocket_2x16_P2.54mm_Vertical_SMD,128.0,-95.558272,90.0,top
J3,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,176.1,-104.99,180.0,top
J4,AMASS XT60 Male,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,93.65,-128.075,180.0,top
J5,AMASS XT60 Female,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,110.25,-129.075,180.0,top
J7,Conn_01x03,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,165.45,-132.405,0.0,top
J8,Conn_01x03,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,152.379333,-132.405,0.0,top
J9,Conn_01x03,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,139.308667,-132.405,0.0,top
Q4,AO3400A,Q_SOT-23,128.5,-113.19,-90.0,top
Q5,AO3400A,Q_SOT-23,128.5,-119.06,-90.0,top
R1,330Ω,R_0402,173.25,-97.9,0.0,top
R10,510Ω,R_0402,172.9,-114.2,0.0,top
R11,510Ω,R_0402,172.73,-117.1,0.0,top
R12,10kΩ,R_0402,147.75,-116.0,-90.0,top
R19,10kΩ,R_0402,132.4,-111.5,0.0,top
R2,10kΩ,R_0402,135.75,-115.25,90.0,top
R20,10kΩ,R_0402,136.3,-112.5,0.0,top
R21,10kΩ,R_0402,145.75,-106.25,-90.0,top
R22,10kΩ,R_0402,147.75,-108.5,90.0,top
R28,10kΩ,R_0402,156.927273,-125.0,90.0,top
R29,10kΩ,R_0402,159.0,-125.0,90.0,top
R3,10kΩ,R_0402,137.7875,-115.2,90.0,top
R30,10kΩ,R_0402,151.466667,-109.5,-90.0,top
R31,10kΩ,R_0402,154.854546,-125.0,90.0,top
R32,10kΩ,R_0402,152.781819,-125.0,90.0,top
R33,10kΩ,R_0402,149.7,-125.0,90.0,top
R6,10kΩ,R_0402,133.7125,-115.25,90.0,top
R7,10kΩ,R_0402,141.8625,-115.15,90.0,top
R8,10kΩ,R_0402,141.5,-112.5,180.0,top
R9,10kΩ,R_0402,139.0,-112.5,0.0,top
U1,"PCA9685PW,118",TSSOP-28_L9.7-W4.4-P0.65-LS6.4-TL,153.78,-115.7,90.0,top
U2,M24C64,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,124.54,-104.94,-90.0,top
U3,SN74CB3Q3245PWR,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,135.8225,-106.85,180.0,top
U4,AMS1117,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,111.035,-105.8,0.0,top
